run_id,element,charge,density,min_te,optimiser,optimal_weight,A,alpha,beta,V0,gamma,max_err_z1,max_err_z2,max_err_z3,passed_all,is_manual_override
20260526_125622,H,0,13.0,1.5,slsqp,0.10,1.852058e-31,8000.0000,0.0823,3.8034,-2.1835,1.2686,2.1713,2.1713,False,False
20260526_130234,H,0,15.3,1.5,slsqp,0.10,1.902989e-32,8000.0000,0.0811,3.3626,-1.8386,1.4529,1.4529,1.4529,False,False
20260526_131134,He,0,13.0,1.5,slsqp,0.10,1.705794e-32,8000.0003,0.4354,5.2812,-1.3542,1.2332,3.2145,43.3827,False,False
20260526_131144,He,1,13.0,1.5,slsqp,0.15,7.540645e-32,8000.0000,0.1946,6.6309,-1.9702,1.0561,1.1546,1.6021,True,False
20260526_131148,Li,0,8.0,1.5,slsqp,0.10,1.338320e-30,8000.0000,0.0800,2.3253,-2.4203,1.1014,1.1014,1.1014,True,False
20260526_131151,Li,0,8.7,1.5,slsqp,0.10,1.338320e-30,8000.0000,0.0800,2.3253,-2.4203,1.1014,1.1014,1.1014,True,False
20260526_131154,Li,0,9.0,1.5,slsqp,0.10,1.338320e-30,8000.0000,0.0800,2.3253,-2.4203,1.1014,1.1014,1.1014,True,False
20260526_131157,Li,0,10.0,1.5,slsqp,0.10,1.338320e-30,8000.0000,0.0800,2.3253,-2.4203,1.1014,1.1014,1.1014,True,False
20260526_131200,Li,0,10.7,1.5,slsqp,0.10,1.337203e-30,8000.0000,0.0800,2.3244,-2.4200,1.1007,1.1007,1.1007,True,False
20260526_131203,Li,0,11.0,1.5,slsqp,0.10,1.331632e-30,8000.0000,0.0800,2.3219,-2.4182,1.0998,1.0998,1.0998,True,False
20260526_131207,Li,0,11.7,1.5,slsqp,0.10,1.344757e-30,8000.0000,0.0806,2.3327,-2.4241,1.1060,1.1060,1.1060,True,False
20260526_131210,Li,0,12.0,1.5,slsqp,0.10,1.342796e-30,8000.0000,0.0801,2.3364,-2.4251,1.1084,1.1084,1.1084,True,False
20260526_131213,Li,0,12.7,1.5,slsqp,0.10,1.151339e-30,8000.0000,0.1053,2.2938,-2.3529,1.1048,1.1048,1.1048,True,False
20260526_131216,Li,0,13.0,1.5,slsqp,0.10,1.034799e-30,8000.0000,0.0800,2.2612,-2.3487,1.1053,1.1053,1.1053,True,False
20260526_131219,Li,0,13.7,1.5,slsqp,0.25,3.566699e-31,8000.0000,0.1499,1.8369,-2.0422,1.0567,1.0567,1.0567,True,False
20260526_131223,Li,0,14.0,1.5,slsqp,0.25,2.012330e-31,8000.0000,0.0801,1.5723,-2.0293,1.0410,1.0410,1.0410,True,False
20260526_131226,Li,0,14.7,1.5,slsqp,0.10,4.314451e-32,8000.0000,0.1082,1.0650,-1.9138,1.0309,1.0309,1.0309,True,False
20260526_131229,Li,0,15.0,1.5,slsqp,0.25,2.168325e-32,8000.0000,0.1089,0.8521,-1.8882,1.0297,1.0297,1.0297,True,False
20260526_131322,Li,1,8.0,1.5,slsqp,0.15,1.304689e-32,8000.0002,0.6579,7.6681,-1.3067,1.1326,1.2083,1.2083,True,False
20260526_131411,Li,1,8.7,1.5,slsqp,0.15,6.633979e-33,8000.0011,1.0004,7.6738,-0.9722,1.1362,1.2127,1.2127,True,False
20260526_131516,Li,1,9.0,1.5,slsqp,0.15,4.041996e-32,7999.9298,0.1149,7.6768,-1.8586,1.1365,1.2139,1.2139,True,False
20260526_131608,Li,1,9.7,1.5,slsqp,0.15,1.337593e-32,8000.0007,0.6570,7.6749,-1.3164,1.1374,1.2147,1.2147,True,False
20260526_131706,Li,1,10.0,1.5,slsqp,0.15,1.348156e-32,8000.0007,0.6527,7.6750,-1.3206,1.1377,1.2157,1.2157,True,False
20260526_131804,Li,1,10.7,1.5,slsqp,0.15,1.369003e-32,8000.0006,0.6439,7.6757,-1.3287,1.1384,1.2181,1.2181,True,False
20260526_131909,Li,1,11.0,1.5,slsqp,0.15,1.341671e-32,8000.0006,0.6527,7.6761,-1.3194,1.1390,1.2193,1.2193,True,False
20260526_132146,Li,1,11.7,1.5,slsqp,0.15,1.450541e-32,8000.0096,0.6101,7.6794,-1.3599,1.1410,1.2226,1.2226,True,False
20260526_132400,Li,1,12.0,1.5,slsqp,0.15,1.519524e-32,7999.9985,0.5845,7.6829,-1.3842,1.1423,1.2240,1.2240,True,False
20260526_132540,Li,1,12.7,1.5,slsqp,0.15,6.314969e-33,8000.0013,1.0005,7.7054,-0.9616,1.1489,1.2494,1.2494,True,False
20260526_132714,Li,1,13.0,1.5,slsqp,0.15,2.287217e-32,8000.0000,0.3590,7.7357,-1.5976,1.1535,1.2777,1.2800,True,False
20260526_133437,Li,1,13.7,1.5,slsqp,0.10,3.442640e-32,8000.0000,0.0942,7.7785,-1.8356,1.2061,1.2061,1.3167,False,False
20260526_133925,Li,2,13.0,1.5,slsqp,0.10,4.860939e-32,8000.0020,0.1945,9.8557,-1.9167,1.0919,1.0919,1.5363,True,False
20260526_134448,Be,0,13.0,1.5,slsqp,0.10,5.689967e-31,8000.0012,0.0803,2.9519,-2.0708,1.7414,1.7414,1.7414,False,False
20260526_135105,Be,1,13.0,1.5,slsqp,0.10,9.808704e-31,8000.0072,0.0839,2.4513,-2.4197,1.2800,1.2800,1.2800,False,False
20260526_140342,Be,2,13.0,1.5,slsqp,0.20,7.282280e-33,8000.0024,0.8544,10.8727,-1.1361,1.0754,1.0935,1.2386,False,False
20260526_140727,Be,3,13.0,1.5,slsqp,0.10,4.884097e-32,7999.9999,0.0800,13.1360,-2.0286,1.0891,1.0891,1.3590,False,False
20260526_140733,B,0,13.0,1.5,slsqp,0.10,6.402450e-30,8000.0000,0.2005,2.3336,-2.7977,1.0106,1.0106,1.0106,True,False
20260526_142053,B,1,13.0,1.5,slsqp,0.10,4.171989e-30,8000.0000,0.1298,2.6065,-2.8434,1.2692,1.2692,1.2692,False,False
20260526_142100,B,2,13.0,1.5,slsqp,0.10,1.151351e-30,8000.0000,0.2705,2.4950,-2.7035,1.0582,1.0582,1.0582,True,False
